Location,Rural/Urban,School Category,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
BHADRADRI KOTHAGUDEM,Rural,SS (I-X),Department of Education,407,1267,0
BHADRADRI KOTHAGUDEM,Urban,SS (I-X),Department of Education,45,179,0
BHADRADRI KOTHAGUDEM,Rural,SS (VI-X),Department of Education,0,1102,0
BHADRADRI KOTHAGUDEM,Urban,SS (VI-X),Department of Education,0,637,0
BHADRADRI KOTHAGUDEM,Urban,UPS (I-VIII),Department of Education,14,0,0
BHADRADRI KOTHAGUDEM,Urban,HSS (XI-XII),Government Aided,0,0,736
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Government Aided,759,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Government Aided,1634,0,0
BHADRADRI KOTHAGUDEM,Rural,SS (VI-X),Government Aided,0,161,0
BHADRADRI KOTHAGUDEM,Urban,SS (VI-X),Government Aided,0,878,0
BHADRADRI KOTHAGUDEM,Rural,UPS (I-VIII),Government Aided,8,0,0
BHADRADRI KOTHAGUDEM,Urban,UPS (I-VIII),Government Aided,19,0,0
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Local body,27609,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Local body,2458,0,0
BHADRADRI KOTHAGUDEM,Rural,SS (I-X),Local body,134,34,0
BHADRADRI KOTHAGUDEM,Urban,SS (I-X),Local body,158,4,0
BHADRADRI KOTHAGUDEM,Rural,SS (VI-X),Local body,0,6491,0
BHADRADRI KOTHAGUDEM,Urban,SS (VI-X),Local body,0,1254,0
BHADRADRI KOTHAGUDEM,Rural,UPS (I-VIII),Local body,8315,0,0
BHADRADRI KOTHAGUDEM,Urban,UPS (I-VIII),Local body,986,0,0
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Ministry of Labor,668,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Ministry of Labor,26,0,0
BHADRADRI KOTHAGUDEM,Rural,SS (I-X),Other Central Govt. Schools,308,122,0
BHADRADRI KOTHAGUDEM,Urban,HSS (I-XII),Private Unaided (Recognized),0,0,0
BHADRADRI KOTHAGUDEM,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,6791
BHADRADRI KOTHAGUDEM,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,3245
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Private Unaided (Recognized),921,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Private Unaided (Recognized),319,0,0
BHADRADRI KOTHAGUDEM,Rural,SS (I-X),Private Unaided (Recognized),11563,4263,0
BHADRADRI KOTHAGUDEM,Urban,SS (I-X),Private Unaided (Recognized),7954,2869,0
BHADRADRI KOTHAGUDEM,Rural,SS (VI-X),Private Unaided (Recognized),0,683,0
BHADRADRI KOTHAGUDEM,Urban,SS (VI-X),Private Unaided (Recognized),0,72,0
BHADRADRI KOTHAGUDEM,Rural,UPS (I-VIII),Private Unaided (Recognized),3833,0,0
BHADRADRI KOTHAGUDEM,Urban,UPS (I-VIII),Private Unaided (Recognized),983,0,0
BHADRADRI KOTHAGUDEM,Rural,HSS (I-XII),Social welfare Department,354,785,807
BHADRADRI KOTHAGUDEM,Urban,HSS (I-XII),Social welfare Department,70,158,237
BHADRADRI KOTHAGUDEM,Urban,SS (I-X),Social welfare Department,197,475,0
BHADRADRI KOTHAGUDEM,Rural,HSS (I-XII),Tribal Welfare Department,69,176,132
BHADRADRI KOTHAGUDEM,Urban,HSS (I-XII),Tribal Welfare Department,50,159,144
BHADRADRI KOTHAGUDEM,Rural,HSS (XI-XII),Tribal Welfare Department,0,0,2268
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Tribal Welfare Department,6655,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Tribal Welfare Department,164,0,0
BHADRADRI KOTHAGUDEM,Rural,SS (I-X),Tribal Welfare Department,729,1814,0
BHADRADRI KOTHAGUDEM,Urban,SS (I-X),Tribal Welfare Department,66,92,0
BHADRADRI KOTHAGUDEM,Rural,SS (VI-X),Tribal Welfare Department,0,3514,0
BHADRADRI KOTHAGUDEM,Urban,SS (VI-X),Tribal Welfare Department,0,241,0
BHADRADRI KOTHAGUDEM,Rural,UPS (I-VIII),Tribal Welfare Department,247,0,0
BHADRADRI KOTHAGUDEM,Urban,UPS (I-VIII),Tribal Welfare Department,75,0,0
HANUMAKONDA,Rural,HSS (I-XII),Department of Education,342,714,643
HANUMAKONDA,Urban,HSS (I-XII),Department of Education,57,120,48
HANUMAKONDA,Rural,HSS (VI-XII),Department of Education,0,1001,1308
HANUMAKONDA,Urban,HSS (VI-XII),Department of Education,0,78,149
HANUMAKONDA,Rural,HSS (XI-XII),Department of Education,0,0,836
HANUMAKONDA,Urban,HSS (XI-XII),Department of Education,0,0,4494
HANUMAKONDA,Rural,PS (I-V),Department of Education,30,0,0
HANUMAKONDA,Urban,PS (I-V),Department of Education,3693,0,0
HANUMAKONDA,Rural,SS (I-X),Department of Education,336,610,0
HANUMAKONDA,Urban,SS (I-X),Department of Education,740,1011,0
HANUMAKONDA,Rural,SS (VI-X),Department of Education,0,140,0
HANUMAKONDA,Urban,SS (VI-X),Department of Education,0,1668,0
HANUMAKONDA,Urban,UPS (I-VIII),Department of Education,430,0,0
HANUMAKONDA,Rural,PS (I-V),Government Aided,55,0,0
HANUMAKONDA,Urban,PS (I-V),Government Aided,85,0,0
HANUMAKONDA,Rural,SS (VI-X),Government Aided,0,9,0
HANUMAKONDA,Urban,SS (VI-X),Government Aided,0,338,0
HANUMAKONDA,Urban,UPS (I-VIII),Government Aided,347,0,0
HANUMAKONDA,Urban,HSS (I-XII),Kendriya Vidyalaya / Central School,420,161,0
HANUMAKONDA,Rural,PS (I-V),Local body,11974,0,0
HANUMAKONDA,Urban,PS (I-V),Local body,2916,0,0
HANUMAKONDA,Rural,SS (I-X),Local body,196,85,0
HANUMAKONDA,Rural,SS (VI-X),Local body,0,3489,0
HANUMAKONDA,Urban,SS (VI-X),Local body,0,1017,0
HANUMAKONDA,Rural,UPS (I-VIII),Local body,2732,0,0
HANUMAKONDA,Urban,UPS (I-VIII),Local body,635,0,0
HANUMAKONDA,Urban,PS (I-V),Madarsa unrecognized,134,0,0
HANUMAKONDA,Urban,UPS (I-VIII),Madarsa unrecognized,19,0,0
HANUMAKONDA,Rural,HSS (I-XII),Private Unaided (Recognized),346,379,270
HANUMAKONDA,Urban,HSS (I-XII),Private Unaided (Recognized),237,126,0
HANUMAKONDA,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,1181
HANUMAKONDA,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,20209
HANUMAKONDA,Rural,PS (I-V),Private Unaided (Recognized),340,0,0
HANUMAKONDA,Urban,PS (I-V),Private Unaided (Recognized),1277,0,0
HANUMAKONDA,Rural,SS (I-X),Private Unaided (Recognized),4215,2295,0
HANUMAKONDA,Urban,SS (I-X),Private Unaided (Recognized),22857,12580,0
HANUMAKONDA,Urban,SS (VI-X),Private Unaided (Recognized),0,280,0
HANUMAKONDA,Rural,UPS (I-VIII),Private Unaided (Recognized),1757,0,0
HANUMAKONDA,Urban,UPS (I-VIII),Private Unaided (Recognized),2390,0,0
HANUMAKONDA,Rural,HSS (I-XII),Social welfare Department,153,319,311
HANUMAKONDA,Urban,HSS (I-XII),Social welfare Department,296,629,516
HANUMAKONDA,Rural,SS (I-X),Social welfare Department,217,471,0
HANUMAKONDA,Urban,SS (I-X),Social welfare Department,73,160,0
HANUMAKONDA,Urban,HSS (XI-XII),Tribal Welfare Department,0,0,159
HANUMAKONDA,Urban,SS (I-X),Tribal Welfare Department,105,246,0
HANUMAKONDA,Urban,PS (I-V),Unrecognized,15,0,0
HYDERABAD,Urban,HSS (I-XII),Department of Education,185,682,470
HYDERABAD,Urban,HSS (XI-XII),Department of Education,0,0,24588
HYDERABAD,Urban,PS (I-V),Department of Education,71335,0,0
HYDERABAD,Urban,SS (I-X),Department of Education,2057,6836,0
HYDERABAD,Urban,SS (VI-X),Department of Education,0,18639,0
HYDERABAD,Urban,UPS (I-VIII),Department of Education,1796,0,0
HYDERABAD,Urban,HSS (XI-XII),Government Aided,0,0,5012
HYDERABAD,Urban,PS (I-V),Government Aided,11677,0,0
HYDERABAD,Urban,SS (I-X),Government Aided,2711,1312,0
HYDERABAD,Urban,SS (VI-X),Government Aided,0,6565,0
HYDERABAD,Urban,UPS (I-VIII),Government Aided,1551,0,0
HYDERABAD,Urban,HSS (I-XII),Kendriya Vidyalaya / Central School,3390,1690,117
HYDERABAD,Urban,SS (I-X),Kendriya Vidyalaya / Central School,321,315,0
HYDERABAD,Urban,PS (I-V),Madarsa unrecognized,54,0,0
HYDERABAD,Urban,UPS (I-VIII),Madarsa unrecognized,65,0,0
HYDERABAD,Urban,HSS (I-XII),Private Unaided (Recognized),6512,3247,493
HYDERABAD,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,98148
HYDERABAD,Urban,PS (I-V),Private Unaided (Recognized),6978,0,0
HYDERABAD,Urban,SS (I-X),Private Unaided (Recognized),210602,116770,0
HYDERABAD,Urban,SS (VI-X),Private Unaided (Recognized),0,6289,0
HYDERABAD,Urban,UPS (I-VIII),Private Unaided (Recognized),55003,0,0
HYDERABAD,Urban,HSS (XI-XII),Railway School,0,0,0
HYDERABAD,Urban,SS (I-X),Railway School,288,203,0
HYDERABAD,Urban,HSS (I-XII),Social welfare Department,57,159,146
HYDERABAD,Urban,HSS (XI-XII),Social welfare Department,0,0,129
HYDERABAD,Urban,SS (I-X),Social welfare Department,140,324,0
HYDERABAD,Urban,SS (I-X),Tribal Welfare Department,16,270,0
HYDERABAD,Urban,UPS (I-VIII),Tribal Welfare Department,120,0,0
JAGTIAL,Rural,HSS (I-XII),Department of Education,307,725,474
JAGTIAL,Urban,HSS (I-XII),Department of Education,110,356,163
JAGTIAL,Rural,HSS (VI-XII),Department of Education,0,2702,3290
JAGTIAL,Urban,HSS (VI-XII),Department of Education,0,59,104
JAGTIAL,Rural,HSS (XI-XII),Department of Education,0,0,2890
JAGTIAL,Urban,HSS (XI-XII),Department of Education,0,0,4552
JAGTIAL,Rural,PS (I-V),Department of Education,0,0,0
JAGTIAL,Urban,PS (I-V),Department of Education,969,0,0
JAGTIAL,Rural,SS (I-X),Department of Education,262,406,0
JAGTIAL,Urban,SS (I-X),Department of Education,76,73,0
JAGTIAL,Rural,SS (VI-X),Department of Education,0,544,0
JAGTIAL,Urban,SS (VI-X),Department of Education,0,975,0
JAGTIAL,Urban,UPS (I-VIII),Department of Education,210,0,0
JAGTIAL,Urban,PS (I-V),Government Aided,27,0,0
JAGTIAL,Rural,UPS (I-VIII),Government Aided,0,0,0
JAGTIAL,Urban,UPS (I-VIII),Government Aided,87,0,0
JAGTIAL,Rural,PS (I-V),Local body,27223,0,0
JAGTIAL,Urban,PS (I-V),Local body,3399,0,0
JAGTIAL,Rural,SS (I-X),Local body,161,17,0
JAGTIAL,Rural,SS (VI-X),Local body,0,7801,0
JAGTIAL,Urban,SS (VI-X),Local body,0,1386,0
JAGTIAL,Rural,UPS (I-VIII),Local body,5863,0,0
JAGTIAL,Urban,UPS (I-VIII),Local body,386,0,0
JAGTIAL,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,149
JAGTIAL,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,7210
JAGTIAL,Rural,PS (I-V),Private Unaided (Recognized),434,0,0
JAGTIAL,Urban,PS (I-V),Private Unaided (Recognized),2271,0,0
JAGTIAL,Rural,SS (I-X),Private Unaided (Recognized),5240,1309,0
JAGTIAL,Urban,SS (I-X),Private Unaided (Recognized),14341,5489,0
JAGTIAL,Rural,SS (VI-X),Private Unaided (Recognized),0,316,0
JAGTIAL,Urban,SS (VI-X),Private Unaided (Recognized),0,973,0
JAGTIAL,Rural,UPS (I-VIII),Private Unaided (Recognized),7675,0,0
JAGTIAL,Urban,UPS (I-VIII),Private Unaided (Recognized),5449,0,0
JAGTIAL,Rural,HSS (I-XII),Social welfare Department,81,160,142
JAGTIAL,Urban,HSS (I-XII),Social welfare Department,77,157,0
JAGTIAL,Rural,SS (I-X),Social welfare Department,75,152,0
JAGTIAL,Urban,SS (I-X),Social welfare Department,147,314,0
JAGTIAL,Rural,PS (I-V),Tribal Welfare Department,278,0,0
JAGTIAL,Rural,SS (I-X),Tribal Welfare Department,19,2,0
JAGTIAL,Rural,UPS (I-VIII),Tribal Welfare Department,72,0,0
JANGAON,Rural,HSS (I-XII),Department of Education,379,748,291
JANGAON,Urban,HSS (I-XII),Department of Education,71,77,0
JANGAON,Rural,HSS (VI-XII),Department of Education,0,1842,2018
JANGAON,Rural,HSS (XI-XII),Department of Education,0,0,1873
JANGAON,Urban,HSS (XI-XII),Department of Education,0,0,775
JANGAON,Rural,PS (I-V),Department of Education,64,0,0
JANGAON,Rural,SS (I-X),Department of Education,18,90,0
JANGAON,Rural,SS (VI-X),Department of Education,0,566,0
JANGAON,Urban,SS (VI-X),Department of Education,0,168,0
JANGAON,Urban,UPS (I-VIII),Department of Education,16,0,0
JANGAON,Rural,PS (I-V),Government Aided,26,0,0
JANGAON,Urban,PS (I-V),Government Aided,185,0,0
JANGAON,Urban,SS (VI-X),Government Aided,0,25,0
JANGAON,Rural,UPS (I-VIII),Government Aided,22,0,0
JANGAON,Rural,PS (I-V),Local body,15302,0,0
JANGAON,Urban,PS (I-V),Local body,682,0,0
JANGAON,Rural,SS (I-X),Local body,130,36,0
JANGAON,Rural,SS (VI-X),Local body,0,5672,0
JANGAON,Urban,SS (VI-X),Local body,0,226,0
JANGAON,Rural,UPS (I-VIII),Local body,4081,0,0
JANGAON,Urban,UPS (I-VIII),Local body,309,0,0
JANGAON,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,685
JANGAON,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,3595
JANGAON,Rural,PS (I-V),Private Unaided (Recognized),403,0,0
JANGAON,Rural,SS (I-X),Private Unaided (Recognized),5548,1905,0
JANGAON,Urban,SS (I-X),Private Unaided (Recognized),3669,1731,0
JANGAON,Rural,SS (VI-X),Private Unaided (Recognized),0,96,0
JANGAON,Rural,UPS (I-VIII),Private Unaided (Recognized),1130,0,0
JANGAON,Urban,UPS (I-VIII),Private Unaided (Recognized),428,0,0
JANGAON,Rural,HSS (I-XII),Social welfare Department,274,629,611
JANGAON,Urban,HSS (I-XII),Social welfare Department,71,155,141
JANGAON,Rural,HSS (I-XII),Tribal Welfare Department,75,196,145
JANGAON,Rural,PS (I-V),Tribal Welfare Department,10,0,0
JANGAON,Rural,SS (I-X),Tribal Welfare Department,80,185,0
JANGAON,Rural,UPS (I-VIII),Tribal Welfare Department,0,0,0
JAYASHANKAR,Rural,HSS (VI-XII),Department of Education,0,1605,1422
JAYASHANKAR,Urban,HSS (VI-XII),Department of Education,0,98,27
JAYASHANKAR,Rural,HSS (XI-XII),Department of Education,0,0,903
JAYASHANKAR,Urban,HSS (XI-XII),Department of Education,0,0,315
JAYASHANKAR,Rural,PS (I-V),Department of Education,161,0,0
JAYASHANKAR,Rural,SS (I-X),Department of Education,221,398,0
JAYASHANKAR,Urban,SS (I-X),Department of Education,43,141,0
JAYASHANKAR,Rural,SS (VI-X),Department of Education,0,100,0
JAYASHANKAR,Urban,UPS (I-VIII),Department of Education,5,0,0
JAYASHANKAR,Rural,PS (I-V),Local body,10924,0,0
JAYASHANKAR,Urban,PS (I-V),Local body,824,0,0
JAYASHANKAR,Rural,SS (VI-X),Local body,0,2715,0
JAYASHANKAR,Urban,SS (VI-X),Local body,0,319,0
JAYASHANKAR,Rural,UPS (I-VIII),Local body,2362,0,0
JAYASHANKAR,Urban,UPS (I-VIII),Local body,241,0,0
JAYASHANKAR,Rural,PS (I-V),Madarsa unrecognized,0,0,0
JAYASHANKAR,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,259
JAYASHANKAR,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,403
JAYASHANKAR,Rural,PS (I-V),Private Unaided (Recognized),276,0,0
JAYASHANKAR,Rural,SS (I-X),Private Unaided (Recognized),4197,935,0
JAYASHANKAR,Urban,SS (I-X),Private Unaided (Recognized),2515,774,0
JAYASHANKAR,Rural,UPS (I-VIII),Private Unaided (Recognized),2082,0,0
JAYASHANKAR,Urban,UPS (I-VIII),Private Unaided (Recognized),346,0,0
JAYASHANKAR,Rural,HSS (I-XII),Social welfare Department,63,154,157
JAYASHANKAR,Rural,SS (I-X),Social welfare Department,79,156,0
JAYASHANKAR,Rural,HSS (I-XII),Tribal Welfare Department,97,345,305
JAYASHANKAR,Rural,PS (I-V),Tribal Welfare Department,13,0,0
JAYASHANKAR,Urban,PS (I-V),Tribal Welfare Department,26,0,0
JAYASHANKAR,Rural,SS (I-X),Tribal Welfare Department,157,195,0
JAYASHANKAR,Urban,SS (I-X),Tribal Welfare Department,41,86,0
JAYASHANKAR,Rural,UPS (I-VIII),Tribal Welfare Department,23,0,0
JOGULAMBA GADWAL,Rural,HSS (I-XII),Department of Education,277,611,277
JOGULAMBA GADWAL,Urban,HSS (I-XII),Department of Education,53,153,146
JOGULAMBA GADWAL,Rural,HSS (VI-XII),Department of Education,0,160,290
JOGULAMBA GADWAL,Urban,HSS (VI-XII),Department of Education,0,198,293
JOGULAMBA GADWAL,Rural,HSS (XI-XII),Department of Education,0,0,1248
JOGULAMBA GADWAL,Urban,HSS (XI-XII),Department of Education,0,0,2478
JOGULAMBA GADWAL,Urban,PS (I-V),Department of Education,1723,0,0
JOGULAMBA GADWAL,Rural,SS (I-X),Department of Education,155,137,0
JOGULAMBA GADWAL,Rural,SS (VI-X),Department of Education,0,497,0
JOGULAMBA GADWAL,Urban,SS (VI-X),Department of Education,0,2056,0
JOGULAMBA GADWAL,Rural,UPS (I-VIII),Department of Education,6,0,0
JOGULAMBA GADWAL,Urban,SS (I-X),Government Aided,106,18,0
JOGULAMBA GADWAL,Urban,SS (VI-X),Government Aided,0,49,0
JOGULAMBA GADWAL,Rural,PS (I-V),Local body,24404,0,0
JOGULAMBA GADWAL,Urban,PS (I-V),Local body,2046,0,0
JOGULAMBA GADWAL,Rural,SS (I-X),Local body,1871,424,0
JOGULAMBA GADWAL,Urban,SS (I-X),Local body,218,39,0
JOGULAMBA GADWAL,Rural,SS (VI-X),Local body,0,7561,0
JOGULAMBA GADWAL,Urban,SS (VI-X),Local body,0,1060,0
JOGULAMBA GADWAL,Rural,UPS (I-VIII),Local body,9107,0,0
JOGULAMBA GADWAL,Urban,UPS (I-VIII),Local body,469,0,0
JOGULAMBA GADWAL,Rural,HSS (I-XII),Private Unaided (Recognized),178,0,0
JOGULAMBA GADWAL,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,573
JOGULAMBA GADWAL,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,3435
JOGULAMBA GADWAL,Rural,PS (I-V),Private Unaided (Recognized),589,0,0
JOGULAMBA GADWAL,Urban,PS (I-V),Private Unaided (Recognized),6,0,0
JOGULAMBA GADWAL,Rural,SS (I-X),Private Unaided (Recognized),2344,575,0
JOGULAMBA GADWAL,Urban,SS (I-X),Private Unaided (Recognized),11003,3366,0
JOGULAMBA GADWAL,Rural,SS (VI-X),Private Unaided (Recognized),0,116,0
JOGULAMBA GADWAL,Rural,UPS (I-VIII),Private Unaided (Recognized),6099,0,0
JOGULAMBA GADWAL,Urban,UPS (I-VIII),Private Unaided (Recognized),1832,0,0
JOGULAMBA GADWAL,Rural,HSS (I-XII),Social welfare Department,281,648,476
JOGULAMBA GADWAL,Rural,SS (I-X),Social welfare Department,152,314,0
JOGULAMBA GADWAL,Rural,SS (I-X),Tribal Welfare Department,74,0,0
JOGULAMBA GADWAL,Urban,PS (I-V),Unrecognized,104,0,0
JOGULAMBA GADWAL,Rural,UPS (I-VIII),Unrecognized,284,0,0
KAMAREDDY,Rural,HSS (I-XII),Department of Education,680,1277,504
KAMAREDDY,Urban,HSS (I-XII),Department of Education,64,298,212
KAMAREDDY,Rural,HSS (VI-XII),Department of Education,0,1855,2194
KAMAREDDY,Urban,HSS (VI-XII),Department of Education,0,198,280
KAMAREDDY,Rural,HSS (XI-XII),Department of Education,0,0,4383
KAMAREDDY,Urban,HSS (XI-XII),Department of Education,0,0,1946
KAMAREDDY,Rural,PS (I-V),Department of Education,719,0,0
KAMAREDDY,Urban,PS (I-V),Department of Education,129,0,0
KAMAREDDY,Rural,SS (I-X),Department of Education,128,167,0
KAMAREDDY,Rural,SS (VI-X),Department of Education,0,903,0
KAMAREDDY,Urban,SS (VI-X),Department of Education,0,627,0
KAMAREDDY,Rural,UPS (I-VIII),Department of Education,140,0,0
KAMAREDDY,Urban,UPS (I-VIII),Department of Education,12,0,0
KAMAREDDY,Urban,HSS (XI-XII),Government Aided,0,0,0
KAMAREDDY,Urban,PS (I-V),Government Aided,214,0,0
KAMAREDDY,Urban,SS (VI-X),Government Aided,0,69,0
KAMAREDDY,Urban,UPS (I-VIII),Government Aided,56,0,0
KAMAREDDY,Rural,HSS (VI-XII),Jawahar Navodaya Vidyalaya,0,152,0
KAMAREDDY,Rural,PS (I-V),Local body,38429,0,0
KAMAREDDY,Urban,PS (I-V),Local body,4215,0,0
KAMAREDDY,Rural,SS (I-X),Local body,310,111,0
KAMAREDDY,Rural,SS (VI-X),Local body,0,11963,0
KAMAREDDY,Urban,SS (VI-X),Local body,0,1870,0
KAMAREDDY,Rural,UPS (I-VIII),Local body,9396,0,0
KAMAREDDY,Urban,UPS (I-VIII),Local body,367,0,0
KAMAREDDY,Rural,PS (I-V),Ministry of Labor,11,0,0
KAMAREDDY,Urban,PS (I-V),Ministry of Labor,5,0,0
KAMAREDDY,Rural,UPS (I-VIII),Ministry of Labor,0,0,0
KAMAREDDY,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,606
KAMAREDDY,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,8691
KAMAREDDY,Rural,PS (I-V),Private Unaided (Recognized),324,0,0
KAMAREDDY,Urban,PS (I-V),Private Unaided (Recognized),256,0,0
KAMAREDDY,Rural,SS (I-X),Private Unaided (Recognized),5166,1528,0
KAMAREDDY,Urban,SS (I-X),Private Unaided (Recognized),8913,3076,0
KAMAREDDY,Rural,UPS (I-VIII),Private Unaided (Recognized),6719,0,0
KAMAREDDY,Urban,UPS (I-VIII),Private Unaided (Recognized),2257,0,0
KAMAREDDY,Rural,HSS (I-XII),Social welfare Department,654,1411,1140
KAMAREDDY,Urban,HSS (I-XII),Social welfare Department,132,316,298
KAMAREDDY,Rural,HSS (I-XII),Tribal Welfare Department,131,315,235
KAMAREDDY,Urban,HSS (I-XII),Tribal Welfare Department,73,165,106
KAMAREDDY,Rural,HSS (XI-XII),Tribal Welfare Department,0,0,139
KAMAREDDY,Rural,PS (I-V),Tribal Welfare Department,280,0,0
KAMAREDDY,Urban,SS (I-X),Tribal Welfare Department,5,2,0
KAMAREDDY,Rural,UPS (I-VIII),Tribal Welfare Department,25,0,0
KAMAREDDY,Urban,UPS (I-VIII),Tribal Welfare Department,25,0,0
KARIMNAGAR,Rural,HSS (I-XII),Department of Education,403,976,407
KARIMNAGAR,Urban,HSS (I-XII),Department of Education,174,448,278
KARIMNAGAR,Rural,HSS (VI-XII),Department of Education,0,2250,2772
KARIMNAGAR,Urban,HSS (VI-XII),Department of Education,0,148,224
KARIMNAGAR,Rural,HSS (XI-XII),Department of Education,0,0,1141
KARIMNAGAR,Urban,HSS (XI-XII),Department of Education,0,0,4026
KARIMNAGAR,Urban,PS (I-V),Department of Education,2983,0,0
KARIMNAGAR,Rural,SS (I-X),Department of Education,148,477,0
