Location,Rural/Urban,School Category ,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
CHENNAI,Urban , SS (I-X) ,Government Aided,903,579,0
CHENNAI,Urban ,SS (IX-X),Government Aided,0,104,0
CHENNAI,Urban ,SS (VI-X),Government Aided,3081,2139,0
CHENNAI,Urban ,UPS (I-VIII) ,Government Aided,3872,0,0
CHENNAI,Urban ,HSS (I-XII),Kendriya Vidyalaya / Central School,2960,2050,1190
CHENNAI,Urban ,HSS (I-XII),Local body,4,0,0
CHENNAI,Urban , HSS (VI-XII),Local body,11471,10115,13236
CHENNAI,Urban ,PS (I-V) ,Local body,0,0,0
CHENNAI,Urban , SS (I-X) ,Local body,44,112,0
CHENNAI,Urban ,SS (VI-X),Local body,6407,4814,0
CHENNAI,Urban ,UPS (I-VIII) ,Local body,6795,0,0
CHENNAI,Urban ,HSS (I-XII),Private Unaided (Recognized),81275,53003,49816
CHENNAI,Urban ,HSS (IX-XII),Private Unaided (Recognized),0,0,207
CHENNAI,Urban , HSS (VI-XII),Private Unaided (Recognized),1385,1393,1692
CHENNAI,Urban ,HSS (XI-XII),Private Unaided (Recognized),0,0,499
CHENNAI,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
CHENNAI,Urban , SS (I-X) ,Private Unaided (Recognized),10564,6307,0
CHENNAI,Urban ,SS (VI-X),Private Unaided (Recognized),551,478,0
CHENNAI,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),669,0,0
CHENNAI,Urban ,HSS (I-XII),Social welfare Department,228,200,238
CHENNAI,Urban ,PS (I-V) ,Social welfare Department,0,0,0
CHENNAI,Urban ,SS (VI-X),Social welfare Department,13,10,0
CHENNAI,Urban ,UPS (I-VIII) ,Social welfare Department,55,0,0
CHENNAI,Urban , HSS (VI-XII),Tribal Welfare Department,348,326,384
CHENNAI,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
CHENNAI,Urban ,SS (VI-X),Tribal Welfare Department,217,133,0
CHENNAI,Urban ,PS (I-V) ,Unrecognized,0,0,0
CHENNAI,Urban ,UPS (I-VIII) ,Unrecognized,112,0,0
COIMBATORE,Rural,HSS (I-XII),Department of Education,571,574,635
COIMBATORE,Urban ,HSS (I-XII),Department of Education,761,613,768
COIMBATORE,Rural, HSS (VI-XII),Department of Education,7865,7765,6713
COIMBATORE,Urban , HSS (VI-XII),Department of Education,11350,11765,11235
COIMBATORE,Rural,PS (I-V) ,Department of Education,0,0,0
COIMBATORE,Urban ,PS (I-V) ,Department of Education,0,0,0
COIMBATORE,Rural,SS (VI-X),Department of Education,4498,3327,0
COIMBATORE,Urban ,SS (VI-X),Department of Education,3868,2520,0
COIMBATORE,Rural,UPS (I-VIII) ,Department of Education,7774,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Department of Education,5556,0,0
COIMBATORE,Urban ,HSS (I-XII),Government Aided,358,225,240
COIMBATORE,Rural, HSS (VI-XII),Government Aided,1700,1631,1489
COIMBATORE,Urban , HSS (VI-XII),Government Aided,12551,11704,13171
COIMBATORE,Rural,PS (I-V) ,Government Aided,0,0,0
COIMBATORE,Urban ,PS (I-V) ,Government Aided,0,0,0
COIMBATORE,Urban , SS (I-X) ,Government Aided,521,325,0
COIMBATORE,Rural,SS (VI-X),Government Aided,436,300,0
COIMBATORE,Urban ,SS (VI-X),Government Aided,2731,2177,0
COIMBATORE,Rural,UPS (I-VIII) ,Government Aided,100,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Government Aided,2780,0,0
COIMBATORE,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,690,422,293
COIMBATORE,Urban ,HSS (I-XII),Kendriya Vidyalaya / Central School,445,685,832
COIMBATORE,Urban , HSS (VI-XII),Local body,4549,4276,4837
COIMBATORE,Urban ,PS (I-V) ,Local body,0,0,0
COIMBATORE,Urban , SS (I-X) ,Local body,5,15,0
COIMBATORE,Urban ,SS (VI-X),Local body,1616,1033,0
COIMBATORE,Rural,UPS (I-VIII) ,Local body,86,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Local body,1730,0,0
COIMBATORE,Urban ,UPS (VI-VIII) ,Local body,51,0,0
COIMBATORE,Urban ,HSS (I-XII),Other Central Govt. Schools,226,148,35
COIMBATORE,Urban ,UPS (I-VIII) ,Other Govt. managed schools,92,0,0
COIMBATORE,Rural,HSS (I-XII),Private Unaided (Recognized),17376,11642,11234
COIMBATORE,Urban ,HSS (I-XII),Private Unaided (Recognized),47596,31728,29877
COIMBATORE,Rural,HSS (IX-XII),Private Unaided (Recognized),0,29,126
COIMBATORE,Rural, HSS (VI-XII),Private Unaided (Recognized),50,97,107
COIMBATORE,Urban , HSS (VI-XII),Private Unaided (Recognized),418,458,475
COIMBATORE,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,314
COIMBATORE,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
COIMBATORE,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
COIMBATORE,Rural, SS (I-X) ,Private Unaided (Recognized),2684,1406,0
COIMBATORE,Urban , SS (I-X) ,Private Unaided (Recognized),4189,2208,0
COIMBATORE,Rural,SS (VI-X),Private Unaided (Recognized),180,94,0
COIMBATORE,Urban ,SS (VI-X),Private Unaided (Recognized),238,199,0
COIMBATORE,Rural,UPS (I-VIII) ,Private Unaided (Recognized),533,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),387,0,0
COIMBATORE,Urban ,UPS (VI-VIII) ,Private Unaided (Recognized),141,0,0
COIMBATORE,Urban ,PS (I-V) ,Social welfare Department,0,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Social welfare Department,28,0,0
COIMBATORE,Rural, HSS (VI-XII),Tribal Welfare Department,275,260,175
COIMBATORE,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
COIMBATORE,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
COIMBATORE,Rural,SS (VI-X),Tribal Welfare Department,181,138,0
COIMBATORE,Rural,UPS (I-VIII) ,Tribal Welfare Department,24,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Tribal Welfare Department,23,0,0
COIMBATORE,Rural,PS (I-V) ,Unrecognized,0,0,0
COIMBATORE,Urban ,PS (I-V) ,Unrecognized,0,0,0
COIMBATORE,Rural,UPS (I-VIII) ,Unrecognized,1,0,0
COIMBATORE,Urban ,UPS (I-VIII) ,Unrecognized,29,0,0
CUDDALORE,Rural,HSS (I-XII),Department of Education,377,371,452
CUDDALORE,Urban ,HSS (I-XII),Department of Education,718,1103,1492
CUDDALORE,Rural, HSS (VI-XII),Department of Education,13622,12930,14208
CUDDALORE,Urban , HSS (VI-XII),Department of Education,7171,8481,12112
CUDDALORE,Rural,PS (I-V) ,Department of Education,0,0,0
CUDDALORE,Urban ,PS (I-V) ,Department of Education,0,0,0
CUDDALORE,Rural,SS (VI-X),Department of Education,11973,9360,0
CUDDALORE,Urban ,SS (VI-X),Department of Education,962,788,0
CUDDALORE,Rural,UPS (I-VIII) ,Department of Education,12920,0,0
CUDDALORE,Urban ,UPS (I-VIII) ,Department of Education,1818,0,0
CUDDALORE,Urban ,HSS (I-XII),Government Aided,2210,2198,2867
CUDDALORE,Rural, HSS (VI-XII),Government Aided,1794,1826,1761
CUDDALORE,Urban , HSS (VI-XII),Government Aided,9762,10258,11533
CUDDALORE,Rural,PS (I-V) ,Government Aided,0,0,0
CUDDALORE,Urban ,PS (I-V) ,Government Aided,0,0,0
CUDDALORE,Rural,SS (VI-X),Government Aided,1405,1073,0
CUDDALORE,Urban ,SS (VI-X),Government Aided,1488,1195,0
CUDDALORE,Rural,UPS (I-VIII) ,Government Aided,2293,0,0
CUDDALORE,Urban ,UPS (I-VIII) ,Government Aided,1402,0,0
CUDDALORE,Urban ,HSS (I-XII),Kendriya Vidyalaya / Central School,375,218,68
CUDDALORE,Urban , HSS (VI-XII),Local body,76,112,219
CUDDALORE,Rural,PS (I-V) ,Local body,0,0,0
CUDDALORE,Urban ,PS (I-V) ,Local body,0,0,0
CUDDALORE,Urban ,SS (VI-X),Local body,520,390,0
CUDDALORE,Urban ,UPS (I-VIII) ,Local body,1432,0,0
CUDDALORE,Rural,UPS (VI-VIII) ,Other Govt. managed schools,148,0,0
CUDDALORE,Rural,HSS (I-XII),Private Unaided (Recognized),11762,7484,6597
CUDDALORE,Urban ,HSS (I-XII),Private Unaided (Recognized),15883,11085,10557
CUDDALORE,Rural, HSS (VI-XII),Private Unaided (Recognized),774,761,722
CUDDALORE,Urban , HSS (VI-XII),Private Unaided (Recognized),2264,1694,1494
CUDDALORE,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
CUDDALORE,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
CUDDALORE,Rural, SS (I-X) ,Private Unaided (Recognized),2094,1075,0
CUDDALORE,Urban , SS (I-X) ,Private Unaided (Recognized),2436,1518,0
CUDDALORE,Rural,SS (VI-X),Private Unaided (Recognized),432,317,0
CUDDALORE,Urban ,SS (VI-X),Private Unaided (Recognized),124,122,0
CUDDALORE,Rural,UPS (I-VIII) ,Private Unaided (Recognized),310,0,0
CUDDALORE,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),576,0,0
CUDDALORE,Urban ,PS (I-V) ,Social welfare Department,0,0,0
CUDDALORE,Urban ,UPS (I-VIII) ,Social welfare Department,10,0,0
CUDDALORE,Rural, HSS (VI-XII),Tribal Welfare Department,919,881,1190
CUDDALORE,Urban , HSS (VI-XII),Tribal Welfare Department,58,97,156
CUDDALORE,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
CUDDALORE,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
CUDDALORE,Rural,SS (VI-X),Tribal Welfare Department,195,133,0
CUDDALORE,Rural,UPS (I-VIII) ,Tribal Welfare Department,558,0,0
CUDDALORE,Urban ,UPS (I-VIII) ,Tribal Welfare Department,41,0,0
CUDDALORE,Rural,PS (I-V) ,Unrecognized,0,0,0
CUDDALORE,Urban ,PS (I-V) ,Unrecognized,0,0,0
CUDDALORE,Rural,UPS (I-VIII) ,Unrecognized,0,0,0
DHARMAPURI,Rural,HSS (I-XII),Department of Education,27,0,0
DHARMAPURI,Urban ,HSS (I-XII),Department of Education,307,373,570
DHARMAPURI,Rural, HSS (VI-XII),Department of Education,15692,17307,21824
DHARMAPURI,Urban , HSS (VI-XII),Department of Education,5427,5862,7923
DHARMAPURI,Rural,PS (I-V) ,Department of Education,0,0,0
DHARMAPURI,Urban ,PS (I-V) ,Department of Education,0,0,0
DHARMAPURI,Rural,SS (VI-X),Department of Education,10773,10008,0
DHARMAPURI,Urban ,SS (VI-X),Department of Education,199,109,0
DHARMAPURI,Rural,UPS (I-VIII) ,Department of Education,13784,0,0
DHARMAPURI,Urban ,UPS (I-VIII) ,Department of Education,366,0,0
DHARMAPURI,Rural, HSS (VI-XII),Government Aided,859,817,664
DHARMAPURI,Rural,PS (I-V) ,Government Aided,0,0,0
DHARMAPURI,Urban ,PS (I-V) ,Government Aided,0,0,0
DHARMAPURI,Rural,SS (VI-X),Government Aided,142,107,0
DHARMAPURI,Rural,UPS (I-VIII) ,Government Aided,136,0,0
DHARMAPURI,Rural,UPS (VI-VIII) ,Government Aided,140,0,0
DHARMAPURI,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,223,153,151
DHARMAPURI,Rural,PS (I-V) ,Local body,0,0,0
DHARMAPURI,Urban ,PS (I-V) ,Local body,0,0,0
DHARMAPURI,Urban ,SS (VI-X),Local body,78,60,0
DHARMAPURI,Rural,UPS (I-VIII) ,Local body,100,0,0
DHARMAPURI,Urban ,UPS (I-VIII) ,Local body,227,0,0
DHARMAPURI,Rural,UPS (I-VIII) ,Other Govt. managed schools,65,0,0
DHARMAPURI,Rural,UPS (VI-VIII) ,Other Govt. managed schools,161,0,0
DHARMAPURI,Urban ,UPS (VI-VIII) ,Other Govt. managed schools,96,0,0
DHARMAPURI,Rural,HSS (I-XII),Private Unaided (Recognized),9935,7476,7528
DHARMAPURI,Urban ,HSS (I-XII),Private Unaided (Recognized),4055,2979,3576
DHARMAPURI,Rural, HSS (VI-XII),Private Unaided (Recognized),509,595,718
DHARMAPURI,Urban , HSS (VI-XII),Private Unaided (Recognized),257,222,202
DHARMAPURI,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
DHARMAPURI,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
DHARMAPURI,Rural, SS (I-X) ,Private Unaided (Recognized),1054,611,0
DHARMAPURI,Urban , SS (I-X) ,Private Unaided (Recognized),302,150,0
DHARMAPURI,Rural,SS (VI-X),Private Unaided (Recognized),388,290,0
DHARMAPURI,Urban ,SS (VI-X),Private Unaided (Recognized),73,34,0
DHARMAPURI,Rural,UPS (I-VIII) ,Private Unaided (Recognized),217,0,0
DHARMAPURI,Rural,HSS (I-XII),Social welfare Department,24,28,52
DHARMAPURI,Urban ,PS (I-V) ,Social welfare Department,0,0,0
DHARMAPURI,Rural,UPS (VI-VIII) ,Social welfare Department,4,0,0
DHARMAPURI,Rural, HSS (VI-XII),Tribal Welfare Department,343,365,381
DHARMAPURI,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
DHARMAPURI,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
DHARMAPURI,Rural, SS (I-X) ,Tribal Welfare Department,63,36,0
DHARMAPURI,Rural,SS (VI-X),Tribal Welfare Department,32,40,0
DHARMAPURI,Rural,UPS (I-VIII) ,Tribal Welfare Department,161,0,0
DHARMAPURI,Rural,PS (I-V) ,Unrecognized,0,0,0
DHARMAPURI,Urban ,UPS (I-VIII) ,Unrecognized,8,0,0
DINDIGUL,Rural,HSS (I-XII),Department of Education,1280,1249,1358
DINDIGUL,Urban ,HSS (I-XII),Department of Education,306,358,464
DINDIGUL,Rural, HSS (VI-XII),Department of Education,9085,9008,9294
DINDIGUL,Urban , HSS (VI-XII),Department of Education,5279,6115,8202
DINDIGUL,Rural,PS (I-V) ,Department of Education,0,0,0
DINDIGUL,Urban ,PS (I-V) ,Department of Education,0,0,0
DINDIGUL,Rural,SS (VI-X),Department of Education,7565,5675,0
DINDIGUL,Urban ,SS (VI-X),Department of Education,741,563,0
DINDIGUL,Rural,UPS (I-VIII) ,Department of Education,9697,0,0
DINDIGUL,Urban ,UPS (I-VIII) ,Department of Education,1327,0,0
DINDIGUL,Rural, HSS (VI-XII),Government Aided,7136,6401,6519
DINDIGUL,Urban , HSS (VI-XII),Government Aided,12053,11141,10410
DINDIGUL,Rural,PS (I-V) ,Government Aided,0,0,0
DINDIGUL,Urban ,PS (I-V) ,Government Aided,0,0,0
DINDIGUL,Rural,SS (VI-X),Government Aided,1734,1299,0
DINDIGUL,Urban ,SS (VI-X),Government Aided,3718,1954,0
DINDIGUL,Rural,UPS (I-VIII) ,Government Aided,2374,0,0
DINDIGUL,Urban ,UPS (I-VIII) ,Government Aided,3144,0,0
DINDIGUL,Urban ,UPS (VI-VIII) ,Government Aided,50,0,0
DINDIGUL,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,263,162,101
DINDIGUL,Urban , HSS (VI-XII),Local body,394,586,742
DINDIGUL,Urban ,PS (I-V) ,Local body,0,0,0
DINDIGUL,Urban ,SS (VI-X),Local body,63,103,0
DINDIGUL,Urban ,UPS (I-VIII) ,Local body,532,0,0
DINDIGUL,Rural,HSS (I-XII),Private Unaided (Recognized),8510,5440,4881
DINDIGUL,Urban ,HSS (I-XII),Private Unaided (Recognized),6685,4691,5046
DINDIGUL,Rural, HSS (VI-XII),Private Unaided (Recognized),739,839,873
DINDIGUL,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
DINDIGUL,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
DINDIGUL,Rural, SS (I-X) ,Private Unaided (Recognized),1850,899,0
DINDIGUL,Urban , SS (I-X) ,Private Unaided (Recognized),1085,508,0
DINDIGUL,Rural,SS (VI-X),Private Unaided (Recognized),574,347,0
DINDIGUL,Rural,UPS (I-VIII) ,Private Unaided (Recognized),485,0,0
DINDIGUL,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),91,0,0
DINDIGUL,Rural, HSS (VI-XII),Social welfare Department,1022,806,734
DINDIGUL,Rural,PS (I-V) ,Social welfare Department,0,0,0
DINDIGUL,Urban ,PS (I-V) ,Social welfare Department,0,0,0
DINDIGUL,Rural, SS (I-X) ,Social welfare Department,82,51,0
DINDIGUL,Rural,SS (VI-X),Social welfare Department,121,83,0
DINDIGUL,Rural,UPS (I-VIII) ,Social welfare Department,136,0,0
DINDIGUL,Urban ,UPS (I-VIII) ,Social welfare Department,51,0,0
DINDIGUL,Rural, HSS (VI-XII),Tribal Welfare Department,161,155,142
DINDIGUL,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
DINDIGUL,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
DINDIGUL,Rural,SS (VI-X),Tribal Welfare Department,50,28,0
DINDIGUL,Rural,PS (I-V) ,Unrecognized,0,0,0
DINDIGUL,Urban ,PS (I-V) ,Unrecognized,0,0,0
DINDIGUL,Urban ,UPS (I-VIII) ,Unrecognized,31,0,0
ERODE,Rural,HSS (I-XII),Department of Education,974,989,1265
ERODE,Urban ,HSS (I-XII),Department of Education,526,572,1593
ERODE,Rural, HSS (VI-XII),Department of Education,9432,10298,10192
ERODE,Urban , HSS (VI-XII),Department of Education,9140,10229,11494
ERODE,Rural,PS (I-V) ,Department of Education,0,0,0
ERODE,Urban ,PS (I-V) ,Department of Education,0,0,0
ERODE,Rural,SS (VI-X),Department of Education,4684,3693,0
ERODE,Urban ,SS (VI-X),Department of Education,1680,1123,0
ERODE,Rural,UPS (I-VIII) ,Department of Education,9493,0,0
ERODE,Urban ,UPS (I-VIII) ,Department of Education,6217,0,0
ERODE,Urban ,HSS (I-XII),Government Aided,108,0,0
ERODE,Rural, HSS (VI-XII),Government Aided,1240,1448,1290
ERODE,Urban , HSS (VI-XII),Government Aided,4376,3749,3773
ERODE,Rural,PS (I-V) ,Government Aided,0,0,0
ERODE,Urban ,PS (I-V) ,Government Aided,0,0,0
ERODE,Rural,SS (VI-X),Government Aided,731,528,0
ERODE,Urban ,SS (VI-X),Government Aided,1853,1441,0
ERODE,Rural,UPS (I-VIII) ,Government Aided,208,0,0
ERODE,Urban ,UPS (I-VIII) ,Government Aided,265,0,0
ERODE,Rural, HSS (VI-XII),Local body,86,131,168
ERODE,Urban , HSS (VI-XII),Local body,885,1063,1341
ERODE,Urban ,PS (I-V) ,Local body,0,0,0
ERODE,Urban ,SS (VI-X),Local body,735,517,0
ERODE,Urban ,UPS (I-VIII) ,Local body,180,0,0
ERODE,Rural,UPS (I-VIII) ,Other Govt. managed schools,223,0,0
ERODE,Rural,UPS (VI-VIII) ,Other Govt. managed schools,84,0,0
ERODE,Rural,HSS (I-XII),Private Unaided (Recognized),11329,7978,8989
ERODE,Urban ,HSS (I-XII),Private Unaided (Recognized),11953,8369,9214
ERODE,Rural, HSS (VI-XII),Private Unaided (Recognized),415,544,1942
ERODE,Urban , HSS (VI-XII),Private Unaided (Recognized),605,703,890
ERODE,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
ERODE,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
ERODE,Rural, SS (I-X) ,Private Unaided (Recognized),2278,1474,0
ERODE,Urban , SS (I-X) ,Private Unaided (Recognized),3277,1786,0
ERODE,Rural,SS (VI-X),Private Unaided (Recognized),322,185,0
ERODE,Urban ,SS (VI-X),Private Unaided (Recognized),421,402,0
ERODE,Rural,UPS (I-VIII) ,Private Unaided (Recognized),246,0,0
ERODE,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),164,0,0
ERODE,Urban ,HSS (I-XII),Railway School,179,92,48
ERODE,Urban ,PS (I-V) ,Social welfare Department,0,0,0
ERODE,Urban , SS (I-X) ,Social welfare Department,15,22,0
ERODE,Rural, HSS (VI-XII),Tribal Welfare Department,94,297,276
ERODE,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
ERODE,Rural,SS (VI-X),Tribal Welfare Department,231,192,0
ERODE,Rural,UPS (I-VIII) ,Tribal Welfare Department,150,0,0
ERODE,Rural,PS (I-V) ,Unrecognized,0,0,0
